
Algorithm,Size,Constraint checks,Assignments,Completion time,result,iteration
ForwadChecking,3,20,4,0,Success,40
ArcConsistency,3,28,4,0,Success,40
BackTrack,5,1659,111,0.031250954,Success,41
ForwadChecking,5,563,35,0,Success,41
ArcConsistency,5,1159,21,0,Success,41
BackTrack,3,18,3,0,Success,42
ForwadChecking,3,18,3,0,Success,42
ArcConsistency,3,23,3,0,Success,42
BackTrack,4,96,9,0.015625,Success,43
ForwadChecking,4,123,9,0,Success,43
ArcConsistency,4,215,9,0.015625715,Success,43
BackTrack,4,198,15,0,Success,44
ForwadChecking,4,171,10,0,Success,44
ArcConsistency,4,443,9,0,Success,44
BackTrack,4,56,6,0.015628099,Success,45
ForwadChecking,4,100,6,0,Success,45
ArcConsistency,4,232,6,0,Success,45
BackTrack,6,1316,46,0.031252861,Success,46
ForwadChecking,6,1446,39,0.031248808,Success,46
ArcConsistency,6,24087,18,0.406258583,Success,46
BackTrack,4,355,15,0.015632629,Success,47
ForwadChecking,4,187,14,0,Success,47
ArcConsistency,4,405,10,0,Success,47
BackTrack,4,147,11,0,Success,48
ForwadChecking,4,127,9,0,Success,48
ArcConsistency,4,313,8,0.015613794,Success,48
BackTrack,4,125,10,0,Success,49
ForwadChecking,4,105,8,0,Success,49
ArcConsistency,4,254,7,0.015625715,Success,49
BackTrack,7,2038855,40927,32.97218919,Success,50
ForwadChecking,7,253028,5822,2.218945265,Success,50
ArcConsistency,7,506762,303,4.015938282,Success,50
BackTrack,5,3000,82,0.015623331,Success,51
ForwadChecking,5,556,28,0,Success,51
ArcConsistency,5,1589,21,0,Success,51
BackTrack,4,446,34,0,Success,52
ForwadChecking,4,443,34,0,Success,52
ArcConsistency,4,1471,13,0.015626431,Success,52
BackTrack,4,290,24,0,Success,53
ForwadChecking,4,186,12,0,Success,53
ArcConsistency,4,292,8,0,Success,53
BackTrack,3,34,5,0,Success,54
ForwadChecking,3,36,5,0,Success,54
ArcConsistency,3,56,4,0,Success,54
BackTrack,7,87245,2905,1.140825033,Success,55
ForwadChecking,7,18897,589,0.250007629,Success,55
ArcConsistency,7,264313,95,2.656595707,Success,55
BackTrack,5,295,12,0,Success,56
ForwadChecking,5,265,12,0,Success,56
ArcConsistency,5,745,11,0.015625954,Success,56
BackTrack,3,13,3,0,Success,57
ForwadChecking,3,16,3,0,Success,57
ArcConsistency,3,24,3,0,Success,57
BackTrack,4,144,10,0,Success,58
ForwadChecking,4,118,10,0,Success,58
ArcConsistency,4,728,8,0,Success,58
BackTrack,5,393,32,0,Success,59
ForwadChecking,5,297,16,0,Success,59
ArcConsistency,5,1777,13,0.015623331,Success,59
BackTrack,7,851688,27851,12.43954158,Success,60
ForwadChecking,7,224077,4353,2.656560659,Success,60
ArcConsistency,7,257702,139,2.828477621,Success,60
BackTrack,6,3021,154,0.031250477,Success,61
ForwadChecking,6,950,28,0.015628099,Success,61
ArcConsistency,6,13699,25,0.124998808,Success,61
BackTrack,4,412,21,0,Success,62
ForwadChecking,4,264,15,0.015624762,Success,62
ArcConsistency,4,1080,8,0.015623569,Success,62
BackTrack,7,865007,4688,12.82951045,Success,63
ForwadChecking,7,23559,328,0.390628099,Success,63
ArcConsistency,7,231026,57,4.860206127,Success,63
BackTrack,6,2855,102,0.031247854,Success,64
ForwadChecking,6,1136,48,0.015626907,Success,64
ArcConsistency,6,4017,21,0.093756199,Success,64
BackTrack,7,111466,703,2.172337294,Success,65
ForwadChecking,7,7646,153,0.124995708,Success,65
ArcConsistency,7,14917,44,0.265625954,Success,65
BackTrack,3,20,6,0,Success,66
ForwadChecking,3,29,6,0,Success,66
ArcConsistency,3,44,6,0,Success,66
BackTrack,6,1325,32,0.015626192,Success,67
ForwadChecking,6,1058,28,0.015624285,Success,67
ArcConsistency,6,6254,21,0.140622139,Success,67
BackTrack,6,3454,46,0.078129292,Success,68
ForwadChecking,6,1068,38,0.031248808,Success,68
ArcConsistency,6,16219,17,0.312502384,Success,68
BackTrack,7,7334,77,0.234378576,Success,69
ForwadChecking,7,1649,33,0.031248808,Success,69
ArcConsistency,7,12959,21,0.406250238,Success,69
BackTrack,5,432,42,0.015624523,Success,70
ForwadChecking,5,472,27,0.015623331,Success,70
ArcConsistency,5,2314,15,0.062500954,Success,70
BackTrack,4,196,15,0,Success,71
ForwadChecking,4,135,10,0.015625954,Success,71
ArcConsistency,4,161,9,0,Success,71
BackTrack,5,1734,72,0.062501431,Success,72
ForwadChecking,5,819,33,0.015625715,Success,72
ArcConsistency,5,8713,30,0.156251907,Success,72
BackTrack,6,37429,431,0.844432116,Success,73
ForwadChecking,6,995,37,0.015625238,Success,73
ArcConsistency,6,5922,24,0.093754768,Success,73
BackTrack,4,156,11,0,Success,74
ForwadChecking,4,146,9,0,Success,74
ArcConsistency,4,271,8,0,Success,74
BackTrack,5,236,13,0,Success,75
ForwadChecking,5,366,13,0,Success,75
ArcConsistency,5,3470,12,0.07812953,Success,75
BackTrack,3,39,8,0,Success,76
ForwadChecking,3,44,7,0,Success,76
ArcConsistency,3,36,7,0,Success,76
BackTrack,4,153,13,0,Success,77
ForwadChecking,4,142,12,0,Success,77
ArcConsistency,4,460,9,0.015624523,Success,77
BackTrack,3,30,7,0,Success,78
ForwadChecking,3,39,6,0,Success,78
ArcConsistency,3,52,6,0,Success,78
BackTrack,3,30,4,0,Success,79
ForwadChecking,3,29,4,0,Success,79
ArcConsistency,3,37,4,0.015627146,Success,79
BackTrack,6,549,27,0.015630007,Success,80
ForwadChecking,6,758,27,0.01563096,Success,80
ArcConsistency,6,3445,15,0.093745708,Success,80
BackTrack,7,33008,580,0.656248808,Success,81
ForwadChecking,7,3933,156,0.062507153,Success,81
ArcConsistency,7,6740,36,0.078124285,Success,81
BackTrack,7,202113,3698,2.859655619,Success,82
ForwadChecking,7,1858,46,0.031245708,Success,82
ArcConsistency,7,25245,33,0.312499046,Success,82
BackTrack,3,22,6,0,Success,83
ForwadChecking,3,25,5,0,Success,83
ArcConsistency,3,35,5,0,Success,83
BackTrack,4,239,12,0,Success,84
ForwadChecking,4,161,12,0,Success,84
ArcConsistency,4,286,8,0,Success,84
BackTrack,5,1146,64,0.015630722,Success,85
ForwadChecking,5,368,12,0.015619278,Success,85
ArcConsistency,5,1321,11,0.031250477,Success,85
BackTrack,7,42548,380,0.625003815,Success,86
ForwadChecking,7,6965,196,0.062508821,Success,86
ArcConsistency,7,44938,29,0.437705517,Success,86
BackTrack,4,406,45,0,Success,87
ForwadChecking,4,108,8,0,Success,87
ArcConsistency,4,205,8,0,Success,87
BackTrack,4,776,44,0,Success,88
ForwadChecking,4,226,17,0,Success,88
ArcConsistency,4,374,12,0.015624523,Success,88
BackTrack,5,13710,495,0.140630245,Success,89
ForwadChecking,5,991,35,0.015617132,Success,89
ArcConsistency,5,2657,21,0.015621901,Success,89
BackTrack,7,409128,6460,4.281542301,Success,90
ForwadChecking,7,28537,621,0.265616417,Success,90
ArcConsistency,7,24689,37,0.234375954,Success,90
BackTrack,5,463,16,0,Success,91
ForwadChecking,5,392,16,0.015631914,Success,91
ArcConsistency,5,1351,12,0,Success,91
BackTrack,4,80,7,0,Success,92
ForwadChecking,4,94,7,0,Success,92
ArcConsistency,4,220,7,0.015626431,Success,92
BackTrack,7,2228,44,0.031411886,Success,93
ForwadChecking,7,1328,33,0,Success,93
ArcConsistency,7,22133,25,0.250005007,Success,93
BackTrack,7,632765,5865,8.157093763,Success,94
ForwadChecking,7,29983,488,0.422080517,Success,94
ArcConsistency,7,31964,27,0.375003338,Success,94
BackTrack,3,35,8,0,Success,95
ForwadChecking,3,35,7,0,Success,95
ArcConsistency,3,50,6,0,Success,95
BackTrack,5,406,17,0.015624762,Success,96
ForwadChecking,5,301,15,0,Success,96
ArcConsistency,5,1333,10,0.015623808,Success,96
BackTrack,6,11146,85,0.140626192,Success,97
ForwadChecking,6,1462,42,0,Success,97
ArcConsistency,6,8208,20,0.078125238,Success,97
BackTrack,5,2004,30,0.031248331,Success,98
ForwadChecking,5,433,19,0,Success,98
ArcConsistency,5,928,9,0,Success,98
BackTrack,7,33430,1230,0.422115088,Success,99
ForwadChecking,7,3485,105,0.031249762,Success,99
ArcConsistency,7,31504,40,0.296880722,Success,99
BackTrack,3,42,7,0,Success,100
ForwadChecking,3,55,7,0,Success,100
ArcConsistency,3,88,6,0,Success,100
BackTrack,0,5880732,107079,88.74655223,,
ForwadChecking,0,673441,15614,7.578854084,,
ArcConsistency,0,1871528,2212,22.79897332,,
